LocationID,ARPLatitude,ARPLongitude
'KPB,56-21-06.6950N,133-37-21.3110W
'PHO,68-20-55.5000N,166-47-57.4000W
'PIZ,69-43-58.4000N,163-00-19.2000W
'64AK,61-26-23.6800N,150-01-33.9600W
'0AK9,61-19-57.1800N,150-03-32.5900W
'2AK0,61-15-21.1700N,149-58-28.7600W
'AK36,61-26-09.6700N,150-07-20.5000W
'AK37,61-14-58.0250N,150-02-08.0180W
'50AK,61-22-49.6600N,150-06-58.5000W
'6AK2,61-15-05.3300N,149-58-55.9960W
'AK14,61-21-12.0000N,150-04-57.0000W
'AHP,56-14-48.6320N,134-38-53.3540W
'16K,55-47-05.6590N,133-35-39.2050W
'TPO,60-12-15.6000N,154-19-07.9420W
'AK51,60-11-55.0990N,154-19-28.9380W
'KPY,57-55-48.4000N,153-02-26.0130W
'KPC,65-15-12.4400N,166-51-27.4600W
'PGM,59-20-54.5100N,151-49-49.1600W
'PTH,56-57-32.7640N,158-38-00.1030W
'ORI,57-53-05.7300N,152-50-51.2600W
'19P,56-19-43.6950N,133-36-36.3040W
'PWR,56-22-51.6620N,134-39-03.3520W
'KPR,58-29-24.4930N,152-34-55.7940W
'A14,58-54-23.4900N,157-42-40.2000W
'PPC,66-48-50.6000N,150-38-37.0000W
'90AK,70-29-31.5600N,148-42-13.1200W
'01A,62-56-26.7200N,152-16-10.5950W
'20K,65-21-16.9900N,149-45-40.9600W
'5QC,65-24-21.3590N,164-39-20.6090W
'AQH,59-45-18.3400N,161-50-43.3200W
'6AK,62-05-02.9110N,152-43-03.0890W
'RMP,65-30-28.4400N,150-08-27.0000W
'RDV,61-47-17.0000N,157-21-00.9000W
'DGG,68-01-55.6000N,162-53-57.1000W
'RBY,64-43-38.0000N,155-28-11.6000W
'9AK2,61-53-56.4000N,161-26-23.0000W
'RSH,61-46-29.6000N,161-19-09.8000W
'A23,56-53-10.7960N,134-09-30.1960W
'Z81,64-54-32.4350N,165-00-52.9800W
'WSJ,57-43-49.3480N,153-19-14.1500W
'SDP,55-18-49.3000N,160-31-17.1000W
'SVA,63-41-10.6000N,170-29-35.4000W
'SCM,61-50-40.3500N,165-34-25.5000W
'8AK3,66-45-57.7570N,160-09-09.9720W
'WLK,66-36-00.5000N,159-59-08.7000W
'SOV,59-26-38.0600N,151-42-18.1500W
'A27,59-26-02.7790N,151-42-27.5800W
'01AK,60-06-20.8600N,149-26-46.5200W
'SWD,60-07-48.2900N,149-25-00.6400W
'SHX,62-41-32.3000N,159-34-09.2000W
'2C7,64-22-15.9000N,161-13-26.3000W
'SMU,61-48-40.6100N,147-30-32.5850W
'SXP,62-31-13.5000N,164-50-51.5000W
'SYA,52-42-44.1300N,174-06-48.9200E
'SHH,66-14-58.5000N,166-05-21.7000W
'SHG,66-53-17.1000N,157-09-44.7000W
'AA12,57-02-27.0000N,135-17-44.0000W
'A29,57-03-07.6960N,135-20-46.3510W
'SIT,57-02-48.6037N,135-21-39.8473W
'SGY,59-27-36.2230N,135-18-56.3890W
'3AK9,61-56-06.4400N,150-59-23.2300W
'SKW,61-57-58.0050N,151-11-43.4050W
'1AK6,61-51-10.0000N,151-24-30.0000W
'1AK8,61-40-28.8200N,151-23-05.5500W
'DDT,62-43-28.6030N,143-55-13.8520W
'SLQ,61-42-01.8000N,157-09-57.1000W
'7AK2,58-08-03.8250N,133-43-46.2470W
'70AK,60-31-04.0000N,150-57-35.0000W
'7AK5,60-30-12.9480N,150-56-07.9810W
'7AK6,60-28-39.9470N,150-55-42.9800W
'7AK3,60-28-34.9390N,151-09-58.0090W
'1AK4,60-31-26.9560N,150-45-07.9530W
'L85,60-32-01.0000N,150-59-44.0000W
'AK55,60-29-21.0000N,150-48-06.0000W
'SXQ,60-28-30.5000N,151-02-22.7000W
'SD1,60-29-33.5300N,151-04-44.1600W
